Business / DBA Name,Legal Entity Name,Street Address,City,State,ZIP Code,NAICS Code,Industry Category,Entity Type,Permit Issue Date,MSSP Regulatory Sales Hook
"2ND NATURE TRADING, INC.","2ND NATURE TRADING, INC.",9010 COBBLE FALLS CT,HOUSTON,TX,77095,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2026-01-21T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
4 CORNERS AUTO,4 CORNERS AUTO LLC,8338A PARK PLACE BLVD,HOUSTON,TX,77017,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2025-02-18T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
AAR SERVICES,"ADVANCED AUTONOMIC RESOURCES, INC.",8203 WILLOW PLACE DR S STE 420,HOUSTON,TX,77070,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2026-08-18T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
ACS MULTISERVICES LLC,ACS MULTISERVICES LLC,19416 PARK ROW STE 190,HOUSTON,TX,77084,541213,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2025-04-01T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"ACX PAYROLL SERVICES, LLC","ACX PAYROLL SERVICES, LLC",7815 SPRUCE COVE DR,HOUSTON,TX,77095,541214,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2014-05-17T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
ADVANCE BOOKKEEPING SERVICES,ADVANCE BOOKKEEPING SERVICES LLC,12410 W LITTLE YORK RD APT 1238,HOUSTON,TX,77041,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2021-11-16T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
ADVANCED ANALYSIS ASSOCIATES,"PROGRESSIVE DIAGNOSTICS, L.L.C.",740 E 13TH ST,HOUSTON,TX,77008,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2014-05-02T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
AG UNITED BOOKKEEPING,"AG UNITED BOOKKEEPING SERVICES, LLC",3418 PRINCETON POINT CT,HOUSTON,TX,77047,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2019-06-24T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
AL INSTANTE MULTISERVICES INC,AL INSTANTE MULTISERVICES INC,540 W GULF BANK RD STE A,HOUSTON,TX,77037,541213,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2024-05-31T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
ALBERT OKAGBUE CPA LLC,ALBERT OKAGBUE CPA LLC,2616 S LOOP W STE 602,HOUSTON,TX,77054,541211,Offices of Certified Public Accountants,Limited Liability Company (LLC),2025-08-13T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"ALOE MEDICAL OFFICE SOLUTIONS, LLC.","ALOE MEDICAL OFFICE SOLUTIONS, LLC.",9800 CENTRE PKWY STE 220,HOUSTON,TX,77036,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2013-07-19T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"ALVAREZ FINANCIAL SUPPORT SERVICES, LLC","ALVAREZ FINANCIAL SUPPORT SERVICES, LLC",6215 LONESOME BAYOU LN,HOUSTON,TX,77088,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2026-04-09T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
ANDERSEN TAX LLC,ANDERSEN TAX LLC,5847 SAN FELIPE ST STE 4450,HOUSTON,TX,77057,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Corporation / Corporate Entity,2015-02-03T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
ANDREA V MARTINEZ,ANDREA V MARTINEZ,3709 LOVE ST,HOUSTON,TX,77026,541213,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2025-07-23T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"ANTRIX PRACTICE MANAGEMENT SOLUTIONS, LLC","ANTRIX PRACTICE MANAGEMENT SOLUTIONS, LLC",5100 WESTHEIMER RD STE 200,HOUSTON,TX,77056,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2020-11-24T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
ARGUETA PROFESSIONAL TAX AND MULTISERVICES LLC,ARGUETA PROFESSIONAL TAX AND MULTISERVICES LLC,6601 HILLCROFT ST STE 105,HOUSTON,TX,77081,541213,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2024-01-23T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
ARMANINO,ARMANINO LLP,16055 SPACE CENTER BLVD STE 235,HOUSTON,TX,77062,541211,Offices of Certified Public Accountants,Type PB,2012-05-03T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"ASCEND BUSINESS MANAGEMENT AND CONSULTING, LLC","ASCEND BUSINESS MANAGEMENT AND CONSULTING, LLC",3915 MAJESTIC TRL,HOUSTON,TX,77059,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2021-04-21T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
ASSOCIATED JB SERVICES INC,"ASSOCIATED JB SERVICES, INC.",9002 POCO RD,HOUSTON,TX,77080,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,1999-06-07T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
AUTOMATED HEALTH MANAGEMENT SERVICES LTD,"AHMS/AUTOMATED HEALTH MANAGEMENT SERVICES, LTD.",1415 NORTH LOOP W STE 240,HOUSTON,TX,77008,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type PL,2005-09-07T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"AXIL BUSINESS SOLUTIONS, INC.","AXIL BUSINESS SOLUTIONS, INC.",7339 CAREW ST,HOUSTON,TX,77074,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2018-05-26T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
B.F NOLAN VENTURES,ADETOLA ADENOLA,9800 CENTRE PKWY STE 615,HOUSTON,TX,77036,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2020-06-24T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
BAKER TILLY VIRCHOW KRAUSE LLP,"BAKER TILLY US, LLP",11750 KATY FWY STE 1100,HOUSTON,TX,77079,541211,Offices of Certified Public Accountants,Type PI,2018-10-11T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
BAYTOWN NOTARY SERVICE,ELIZABETH LOPEZ,5956 SOUTHLEA ST,HOUSTON,TX,77033,541213,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2013-01-12T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"BDO USA, P.C.","BDO USA, P.C.",2929 ALLEN PKWY FL 20,HOUSTON,TX,77019,541211,Offices of Certified Public Accountants,Type CU,2015-01-15T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
BEK FINANCIAL ADVISORS LLC,BEK FINANCIAL ADVISORS LLC,11250 WEST RD STE G,HOUSTON,TX,77065,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2025-08-02T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"BENZER TAX AND BUSINESS SERVICES, LLC","BENZER TAX AND BUSINESS SERVICES, LLC",5120 WOODWAY DR STE 10014,HOUSTON,TX,77056,541211,Offices of Certified Public Accountants,Limited Liability Company (LLC),2011-07-14T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
BILANX BOOKS LLC,BILANX BOOKS LLC,6118 ALETHA LN,HOUSTON,TX,77081,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2021-10-05T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
BOGATY GROUP,BOGATY GROUP LLC,1300 ANDREWS ST,HOUSTON,TX,77019,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2012-01-07T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
BORJA'S MULTISERVICES,OLIVIA BARAHONA,13940 BAMMEL NORTH HOUSTON RD STE 101,HOUSTON,TX,77066,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2025-04-24T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
BRAINY ADVISORS LIMITED LIABILITY COMPANY,BRAINY ADVISORS LIMITED LIABILITY COMPANY,12333 SOWDEN RD STE B PMB 61824,HOUSTON,TX,77080,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2024-04-23T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
BROKEN HILL PROPRIETARY (USA) INC.,WOODSIDE ENERGY USA SERVICES INC.,1500 POST OAK BLVD,HOUSTON,TX,77056,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Foreign Corporation (Out-of-State),2018-07-12T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"BURTON ACCOUNTING, PLLC","BURTON ACCOUNTING, PLLC",1160 DAIRY ASHFORD RD STE 350,HOUSTON,TX,77079,541213,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2016-09-09T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"C. JAY MCWHORTER, P.C.","C. JAY MCWHORTER, P.C.",11500 NORTHWEST FWY STE 620,HOUSTON,TX,77092,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type CP,2001-06-04T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
CAMARILLO INSURANCE AGENCY,ELVA CAMARILLO AND SANDRA CAMARILLO,123 NORTHPOINT DR STE 111A,HOUSTON,TX,77060,541213,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type PI,2025-07-01T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
CAPITAL FINANCIAL SERVICES,"ZAMORA FINANCIAL GROUP, INC.",12822 WILLOW CENTRE DR STE A,HOUSTON,TX,77066,541213,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2015-09-15T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
CARI BARNES TAX & NOTARY,CARI V BARNES,2115 N DURHAM DR,HOUSTON,TX,77008,541213,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-01-18T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
CB 'CANDYTUFF' BOOKKEEPING & TAX SERVICES,CANDY J BULLARD,16431 HAVENHURST DR,HOUSTON,TX,77059,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2015-12-09T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"CCA BOOKKEEPING SERVICES, LP","CCA BOOKKEEPING SERVICES, LP",790 W SAM HOUSTON PKWY N STE 202,HOUSTON,TX,77024,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type PL,2023-08-09T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
CEDAR HUT TRADING,SHADI TALGEH,315 ADDICKS HOWELL RD STE 941181,HOUSTON,TX,77079,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2019-06-17T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
CENTS & CENTSABILITY CONSULTING LLC,CENTS & CENTSABILITY CONSULTING LLC,3323 WOODBRIAR DR,HOUSTON,TX,77068,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2013-12-18T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"CERDA, MARTINEZ & COMPANY LLP","CERDA, MARTINEZ & COMPANY LLP",10101 SOUTHWEST FWY STE 201,HOUSTON,TX,77074,541211,Offices of Certified Public Accountants,Type PL,2005-01-15T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
CHEPA MULTISERVICE,LUCERO VENEGAS CANSECO,10303 NORTHWEST FWY STE 538C,HOUSTON,TX,77092,541213,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2026-04-07T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"CISEP MULTI-SERVICES, LLC",DULCINE SERVICES LLC,3845 CYPRESS CREEK PKWY STE 350,HOUSTON,TX,77068,541213,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2021-05-11T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
CJJ SERVICES,RUTH YAMILETH GARCIA,12812 VILLAGE GATE DR,HOUSTON,TX,77082,541213,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-02-09T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"CLAUDE L BOHANNON CPA, PLLC","CLAUDE L BOHANNON CPA, PLLC",7110 BLENHEIM PALACE LN,HOUSTON,TX,77095,541211,Offices of Certified Public Accountants,Limited Liability Company (LLC),2026-01-15T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
CLIFTONLARSONALLEN LLP,CLIFTONLARSONALLEN LLP,5847 SAN FELIPE ST STE 2502,HOUSTON,TX,77057,541211,Offices of Certified Public Accountants,Type PB,2025-04-15T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
CLUTCH BOOKKEEPING LLC,CLUTCH BOOKKEEPING LLC,6313 ILLINOIS ST,HOUSTON,TX,77021,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2022-10-18T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
"COMMERCIAL RECOVERY NOW, LLC","COMMERCIAL RECOVERY NOW, LLC",19703 HOLLYWIND CIR,HOUSTON,TX,77094,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2020-03-03T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
COMPLETE BOOKKEEPING SERVICE,JERRE LYNN SPENCER,11211 KATY FWY STE 220,HOUSTON,TX,77079,541219,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2016-05-11T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
COMPLETE PAYROLL SERVICE LLC,"COMPLETE PAYROLL SERVICE, LLC",397 N SAM HOUSTON PKWY E STE 415,HOUSTON,TX,77060,541214,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2004-12-11T00:00:00.000,FTC Safeguards Rule / Taxpayer PII Protection
