Business / DBA Name,Legal Entity Name,Street Address,City,State,ZIP Code,NAICS Code,Industry Category,Entity Type,Permit Issue Date,MSSP Regulatory Sales Hook
1ST RATE INSPECTIONS,1ST RATE INSPECTIONS LLC.,9630 CANNOCK CHASE DR,HOUSTON,TX,77065,541350,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2023-11-20T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"2H OFFSHORE, INC.","2H OFFSHORE, INC.",15990 N BARKERS LANDING RD STE 200,HOUSTON,TX,77079,541330,Engineering Services,Foreign Corporation (Out-of-State),2013-10-16T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
2I'S LLC,2I'S LLC,8320 MILLET ST,HOUSTON,TX,77012,541330,Engineering Services,Limited Liability Company (LLC),2025-03-17T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
3D MACHINE WORKS,DOWNHOLE INNOVATIONS LLC,12703 BRANT ROCK DR,HOUSTON,TX,77082,541330,Engineering Services,Limited Liability Company (LLC),2023-12-04T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"4D NAV, LLC","4D NAV, LLC",1680 W SAM HOUSTON PKWY N,HOUSTON,TX,77043,541370,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2022-09-13T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"4M PROCESS SOLUTIONS, LLC","4M PROCESS SOLUTIONS, LLC",945 W 17TH ST,HOUSTON,TX,77008,541330,Engineering Services,Limited Liability Company (LLC),2022-05-25T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
5203 WERNER,"COMPEAN DESIGN STUDIO, LLC",5203 WERNER ST,HOUSTON,TX,77022,541310,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2025-04-02T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"823 DRAFTING STUDIO, LLC","823 DRAFTING STUDIO, LLC",6511 MYRTLE ST,HOUSTON,TX,77087,541340,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2019-07-23T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
A & D MACHINING SERVICE LLC,A & D MACHINING SERVICE LLC,6717 MCGREW ST,HOUSTON,TX,77087,541330,Engineering Services,Limited Liability Company (LLC),2025-09-02T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"A & S ENGINEERS, INC.","A & S ENGINEERS, INC.",10377 STELLA LINK RD,HOUSTON,TX,77025,541330,Engineering Services,Texas Corporation,2024-10-12T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"A J'S LANDSCAPING & DESIGN, INC.","A J'S LANDSCAPING & DESIGN, INC.",1223 W 21ST ST,HOUSTON,TX,77008,541320,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2025-06-04T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"A&D ENGINEERING, LLC","A&D ENGINEERING, LLC",209 FRAWLEY ST,HOUSTON,TX,77009,541330,Engineering Services,Limited Liability Company (LLC),2018-01-17T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
A&M ARCHITECTURAL GLASS INC,A&M ARCHITECTURAL GLASS INC,5505 BRYSTONE DR,HOUSTON,TX,77041,541330,Engineering Services,Texas Corporation,2018-05-02T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"ABCO SUBSEA, LLC","ABCO SUBSEA, LLC",7108 W LITTLE YORK RD,HOUSTON,TX,77040,541330,Engineering Services,Limited Liability Company (LLC),2015-02-24T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
ABSG CONSULTING INC,ABSG CONSULTING INC.,16855 NORTHCHASE DR,HOUSTON,TX,77060,541330,Engineering Services,Foreign Corporation (Out-of-State),2007-04-20T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
ABSOLUTELY OUTDOORS,"HHP DESIGN GROUP, LLC",21175 STATE HIGHWAY 249 # 410,HOUSTON,TX,77070,541320,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2022-05-25T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
ACE ENGINEERING AMERICA INC.,ACE ENGINEERING AMERICA INC.,100 GLENBOROUGH DR STE 805,HOUSTON,TX,77067,541330,Engineering Services,Foreign Corporation (Out-of-State),2026-07-01T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
ACET SOLUTIONS LLC,ACET SOLUTIONS LLC,1400 BROADFIELD BLVD STE 200,HOUSTON,TX,77084,541330,Engineering Services,Limited Liability Company (LLC),2021-12-13T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
ACTION SURVEYING,ACTION SURVEYING LLC,10210 FUQUA ST,HOUSTON,TX,77089,541370,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2015-08-22T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
ACTIVE INDUSTRIAL FIRE PROTECTION LLC,ACTIVE INDUSTRIAL FIRE PROTECTION LLC,13100 WORTHAM CENTER DR FL 3,HOUSTON,TX,77065,541340,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2024-05-31T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
ADVANCE SURVEYING INC,"ADVANCE SURVEYING, INC.",10518 KIPP WAY DR # 1B,HOUSTON,TX,77099,541370,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2006-06-13T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"ADVANCED TRAFFIC SOLUTIONS, LLC","ADVANCED TRAFFIC SOLUTIONS, LLC",3505 SAGE RD UNIT 2309,HOUSTON,TX,77056,541330,Engineering Services,Limited Liability Company (LLC),2015-09-09T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
AE PROJECTS LLC,AE PROJECTS LLC,4213A KOEHLER ST,HOUSTON,TX,77007,541340,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2018-07-05T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
AEA ARCHITECTS,AEA ARCHITECTS,3411 BRIMWOOD DR,HOUSTON,TX,77068,541310,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type PI,2019-03-29T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
AEROSITE SOLUTIONS,AEROSITE SOLUTIONS LLC,2410 QUIVER LN,HOUSTON,TX,77067,541370,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2026-06-23T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
AEROTECH P & K HOUSTON,"EUROFINS AEROTECH BUILT ENVIRONMENT TESTING, LLC",6310 ROTHWAY STREET,HOUSTON,TX,77040,541380,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Corporation / Corporate Entity,2005-04-27T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"AFFILIATED ENGINEERS, INC.","AFFILIATED ENGINEERS, INC.",1 GREENWAY PLZ STE 150,HOUSTON,TX,77046,541330,Engineering Services,Foreign Corporation (Out-of-State),2010-08-12T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
AFFINITY POWER SYSTEMS LLC,AFFINITY POWER SYSTEMS LLC,5750 N SAM HOUSTON PKWY E STE 811,HOUSTON,TX,77032,541330,Engineering Services,Limited Liability Company (LLC),2013-10-04T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
AFTON GLOBAL SUPPLY LLC,AFTON GLOBAL SUPPLY LLC,12000 BARRYKNOLL LN APT 839,HOUSTON,TX,77024,541330,Engineering Services,Limited Liability Company (LLC),2025-10-23T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
AHK SOLUTIONS LLC,AHK SOLUTIONS LLC,1095 BRITTMOORE RD APT 2223,HOUSTON,TX,77043,541330,Engineering Services,Limited Liability Company (LLC),2025-02-19T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"AI ENGINEERS & INNOVATORS, LLC.","AI ENGINEERS & INNOVATORS, LLC.",5711 LACY ST,HOUSTON,TX,77007,541330,Engineering Services,Limited Liability Company (LLC),2026-09-03T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
AIK GLOBAL INC,AIK GLOBAL INC,6201 BONHOMME RD STE 454S,HOUSTON,TX,77036,541330,Engineering Services,Texas Corporation,2025-10-08T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
AIKEN ENGINEERING COMPANY,AIKEN ENGINEERING COMPANY,9720 CYPRESSWOOD DR STE 226,HOUSTON,TX,77070,541330,Engineering Services,Texas Corporation,2018-10-23T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
AIR LIQUIDE GLOBAL E&C SOLUTIONS US INC,AIR LIQUIDE GLOBAL E&C SOLUTIONS US INC.,9811 KATY FWY STE 100,HOUSTON,TX,77024,541330,Engineering Services,Foreign Corporation (Out-of-State),2025-07-01T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"ALLIANCE LABORATORIES, INC.","ALLIANCE LABORATORIES, INC.",5650 GUHN RD STE 118,HOUSTON,TX,77040,541380,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2011-02-10T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"ALLIANCE PROCESS PARTNERS, LLC","ALLIANCE PROCESS PARTNERS, LLC",3657 BRIARPARK DR,HOUSTON,TX,77042,541310,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Corporation / Corporate Entity,2009-04-07T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
ALLIE'S TECHNICAL SERVICES,CRISTI ANN RAYMUNDO,7327 BOYSENBERRY LN,HOUSTON,TX,77095,541380,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2015-09-30T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"ALS GROUP USA, CORP.","ALS GROUP USA, CORP.",10450 STANCLIFF RD STE 210,HOUSTON,TX,77099,541380,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2006-07-27T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"AMANI ENGINEERING, INC.","AMANI ENGINEERING, INC.",11011 RICHMOND AVE STE 700,HOUSTON,TX,77042,541330,Engineering Services,Texas Corporation,2023-05-15T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
AMENTUM TECHNOLOGY INC,"AMENTUM TECHNOLOGY, INC.",2224 BAY AREA BLVD,HOUSTON,TX,77058,541330,Engineering Services,Foreign Corporation (Out-of-State),2024-03-04T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
"AMOG CONSULTING, INC.","AMOG CONSULTING, INC.",770 S POST OAK LN STE 310,HOUSTON,TX,77056,541330,Engineering Services,Texas Corporation,2011-05-03T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
AMROAMP HOUSTON,SPRINGHORN BROTHERS LLC,10226 GEORGIBELLE DR # H3,HOUSTON,TX,77043,541310,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2026-07-22T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
AMY E SULLIVAN DESIGN,AMY ELIZABETH SULLIVAN,5210 CANAL ST,HOUSTON,TX,77011,541320,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2018-12-14T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
ANDERSON & ASSOCIATES INC,"ANDERSON & ASSOCIATES, INC.",919 FM 1959 RD,HOUSTON,TX,77034,541380,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,1997-11-17T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
ANGEL'S ROCKS AND FOSSILS,"HYDRAULIC FRACTURING GROUP, LLC",12918 MALCOMSON RD,HOUSTON,TX,77070,541330,Engineering Services,Limited Liability Company (LLC),2023-12-29T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
ANYBOTICS INC.,ANYBOTICS INC.,11826 WATERDANCE LN,HOUSTON,TX,77095,541330,Engineering Services,Foreign Corporation (Out-of-State),2026-08-13T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
ARAMCO SERVICES COMPANY,ARAMCO DOWNSTREAM AMERICAS COMPANY,1200 SMITH ST,HOUSTON,TX,77002,541330,Engineering Services,Foreign Corporation (Out-of-State),2020-05-13T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
ARCADIS INC.,ARCADIS INC.,2929 BRIARPARK DR STE 215,HOUSTON,TX,77042,541330,Engineering Services,Foreign Corporation (Out-of-State),2025-06-12T00:00:00.000,CMMC 2.0 / Proprietary CAD & IP Protection
