Business / DBA Name,Legal Entity Name,Street Address,City,State,ZIP Code,NAICS Code,Industry Category,Entity Type,Permit Issue Date,MSSP Regulatory Sales Hook
'EXNAX RADIOLOGY OF TEXAS,"RADIOLOGY PARTNERS OF TEXAS, INC.",1111 NORTH LOOP W,HOUSTON,TX,77008,621111,Offices of Physicians (except Mental Health Specialists),Type CN,2022-10-06T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
01/27/2023,LIVE HYDRATION HOUSTON LLC,2800 KIRBY DR,HOUSTON,TX,77098,621498,"Health Care and Social Assistance (Hospitals, Clinics, Doctors)",Limited Liability Company (LLC),2024-04-23T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
290 CROSSING DENTAL AND ORTHODONTICS,290 CROSSING DENTAL AND ORTHODONTICS PLLC,7844 W TIDWELL RD STE 130,HOUSTON,TX,77040,621210,Offices of Dentists,Limited Liability Company (LLC),2024-07-04T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
4EVER YOUNG,"BALLENTINE MEDICAL CONSULTANTS, PLLC",1695 S VOSS RD,HOUSTON,TX,77057,621111,Offices of Physicians (except Mental Health Specialists),Limited Liability Company (LLC),2023-01-12T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
4EVER YOUNG. VINTAGE,NAFA PAIN & ANESTHESIA ASSOCIATES INC.,10850 LOUETTA RD STE 1000,HOUSTON,TX,77070,621999,"Health Care and Social Assistance (Hospitals, Clinics, Doctors)",Texas Corporation,2025-04-23T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
7TH ELEMENT MANAGEMENT LLC,7TH ELEMENT MANAGEMENT LLC,4203 MONTROSE BLVD STE 400,HOUSTON,TX,77006,621999,"Health Care and Social Assistance (Hospitals, Clinics, Doctors)",Limited Liability Company (LLC),2026-06-23T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
987 MEDICAL L.L.C.,987 MEDICAL L.L.C.,3622 UNIVERSITY BLVD,HOUSTON,TX,77005,621111,Offices of Physicians (except Mental Health Specialists),Limited Liability Company (LLC),2026-04-27T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
"A & S REFINED CO., LLC","A & S REFINED CO., LLC",1976 W DALLAS ST,HOUSTON,TX,77019,621111,Offices of Physicians (except Mental Health Specialists),Limited Liability Company (LLC),2026-07-22T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
A BIG ACT ABA THERAPY LLC,A BIG ACT ABA THERAPY LLC,11739 BERKWAY TRL,HOUSTON,TX,77065,621330,"Health Care and Social Assistance (Hospitals, Clinics, Doctors)",Limited Liability Company (LLC),2024-10-23T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
"A. NANJI (U.S.A.), INC.","A. NANJI (U.S.A.), INC.",137 SHARPSTOWN CTR,HOUSTON,TX,77036,621320,"Health Care and Social Assistance (Hospitals, Clinics, Doctors)",Texas Corporation,2001-10-12T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
AA1-HOME & COMMUNITY BASE SERVICES LLC,AA1-HOME & COMMUNITY BASE SERVICES LLC,16526 PARK ROW,HOUSTON,TX,77084,621610,"Health Care and Social Assistance (Hospitals, Clinics, Doctors)",Limited Liability Company (LLC),2026-04-29T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
ABOVE AND BEYOND THERAPY,HYOJIN KIM,10318 LAKE RD STE 102B,HOUSTON,TX,77070,621330,"Health Care and Social Assistance (Hospitals, Clinics, Doctors)",Type IS,2025-01-21T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
ABSOLUTE GLAMOUR AND MASSAGE,DIANA HARRIS,16811 DOVERWOOD WAY,HOUSTON,TX,77058,621399,"Health Care and Social Assistance (Hospitals, Clinics, Doctors)",Type IS,2012-11-02T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
ACPS THE SURGICENTRE,ACPS THE SURGICENTRE LLC,4400 POST OAK PKWY STE 300,HOUSTON,TX,77027,621498,"Health Care and Social Assistance (Hospitals, Clinics, Doctors)",Corporation / Corporate Entity,2026-02-19T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
ACPS THE SURGICENTRE,ACPS THE SURGICENTRE LLC,12727 KIMBERLEY LN STE 100A,HOUSTON,TX,77024,621498,"Health Care and Social Assistance (Hospitals, Clinics, Doctors)",Corporation / Corporate Entity,2026-02-19T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
ACUSHEN CLINIC,ANZOLA WELLNESS PLLC,3007 WHITE OAK DR,HOUSTON,TX,77007,621310,"Health Care and Social Assistance (Hospitals, Clinics, Doctors)",Limited Liability Company (LLC),2021-11-16T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
"ADARA MEDICAL SPA, PLLC","ADARA MEDICAL SPA, PLLC",1401 BINZ ST STE 250,HOUSTON,TX,77004,621399,"Health Care and Social Assistance (Hospitals, Clinics, Doctors)",Limited Liability Company (LLC),2014-06-26T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
ADVANCED RESEARCH AND DIAGNOSTICS PLLC,ADVANCED RESEARCH AND DIAGNOSTICS PLLC,1415 BRIAR BAYOU DR,HOUSTON,TX,77077,621111,Offices of Physicians (except Mental Health Specialists),Limited Liability Company (LLC),2022-02-19T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
"ADVANCING HEALTH MEDICAL PARTNERS, LLC","ADVANCING HEALTH MEDICAL PARTNERS, LLC",3359 CHARLESTON ST,HOUSTON,TX,77021,621111,Offices of Physicians (except Mental Health Specialists),Limited Liability Company (LLC),2022-08-17T00:00:00.000,HIPAA / HITECH Patient Data Protection & Ransomware Defense
