Business / DBA Name,Legal Entity Name,Street Address,City,State,ZIP Code,NAICS Code,Industry Category,Entity Type,Permit Issue Date,MSSP Regulatory Sales Hook
7021 MULTISERVICES,IDALIA CARINA PINEDA,7021 MYRTLE ST,HOUSTON,TX,77087,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2023-07-26T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
A H R MULTISERVICE LLC,SANDRA SANCHEZ,9426 SHERBOURNE ST,HOUSTON,TX,77016,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-04-11T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
A&L MULTISERVICES,NORA IVANA RAMOS,208 LUTHER ST,HOUSTON,TX,77076,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2025-01-17T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
A-1 AUTO TITLE SERVICES,KOMAL DHILLON,3971 ADE ST,HOUSTON,TX,77063,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2023-11-01T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
AC PROFESSIONAL MULTISERVICES,ANA ELSY CRUZ VENTURA,616 CYPRESS CREEK PKWY STE 294,HOUSTON,TX,77090,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2025-09-23T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ADELANTE GO AHEAD TITLE TRANSFER SERVICE,MARIA M VALDEZ,1527 AIRLINE DR,HOUSTON,TX,77009,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2023-08-25T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
AFFORDABLE AUTO TITLE & NOTARY,MANJIT S BHAR,9838 PHIL HALSTEAD DR,HOUSTON,TX,77086,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-01-09T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
"AKIN, GUMP ET AL","AKIN, GUMP, STRAUSS, HAUER, & FELD LLP",1111 LOUISIANA ST FL 44,HOUSTON,TX,77002,541110,Offices of Lawyers,Type PB,2004-05-03T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ALAMO TITLE COMPANY,ALAMO TITLE COMPANY,1110 N POST OAK RD,HOUSTON,TX,77055,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2014-01-14T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ALEJANDRE'S PUBLIC NOTARY SERVICE L.L.C.,ALEJANDRE'S PUBLIC NOTARY SERVICE L.L.C.,8331 WAYFARER LN,HOUSTON,TX,77075,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2026-09-14T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
