Business / DBA Name,Legal Entity Name,Street Address,City,State,ZIP Code,NAICS Code,Industry Category,Entity Type,Permit Issue Date,MSSP Regulatory Sales Hook
11717 GARRETT INC,11717 GARRETT INC,11717 GARRETT RD,HOUSTON,TX,77044,493190,"Transportation and Warehousing (Postal, Couriers, Warehousing)",Texas Corporation,2025-07-23T00:00:00.000,Supply Chain / Port Operations Business Continuity
"3 MEN MOVERS, LTD.","3 MEN MOVERS, LTD.",6853 1/2 SOUTHWEST FWY,HOUSTON,TX,77074,484210,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Type PL,2005-12-15T00:00:00.000,Supply Chain / Port Operations Business Continuity
7112 TRANS - CEM HOUSTON RT,"NEW LINE TRANSPORT, LLC",6205 INDUSTRIAL WAY,HOUSTON,TX,77011,484122,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Corporation / Corporate Entity,2017-01-18T00:00:00.000,Supply Chain / Port Operations Business Continuity
7122 TRANS - AGG HOUSTON,"NEW LINE TRANSPORT, LLC",6203 INDUSTRIAL WAY,HOUSTON,TX,77011,484122,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Corporation / Corporate Entity,2017-01-17T00:00:00.000,Supply Chain / Port Operations Business Continuity
7143 - NEWLINE HOUSTON,"NEW LINE TRANSPORT, LLC",6203 INDUSTRIAL WAY,HOUSTON,TX,77011,484122,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Corporation / Corporate Entity,2017-01-17T00:00:00.000,Supply Chain / Port Operations Business Continuity
7161 - SHOP HOUSTON NL,"NEW LINE TRANSPORT, LLC",6205 INDUSTRIAL WAY,HOUSTON,TX,77011,484122,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Corporation / Corporate Entity,2017-01-17T00:00:00.000,Supply Chain / Port Operations Business Continuity
A PLUS QUALITY MOVERS HOUSTON,DESRILL SEAN REYES,3050 POST OAK BLVD STE 510A,HOUSTON,TX,77056,484210,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Type IS,2026-01-16T00:00:00.000,Supply Chain / Port Operations Business Continuity
A&M TRANSIT,ANTHONY PERKINS AND DERIQUISHA ANDERSON,6609 CARVER RD,HOUSTON,TX,77091,493120,"Transportation and Warehousing (Postal, Couriers, Warehousing)",Type PI,2026-08-06T00:00:00.000,Supply Chain / Port Operations Business Continuity
A-1 FREEMAN,"A-1 FREEMAN NORTH AMERICAN, INC.",9619 KIRKTON DR,HOUSTON,TX,77095,484220,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Texas Corporation,2010-03-16T00:00:00.000,Supply Chain / Port Operations Business Continuity
"A-ROCKET MOVING & DELIVERY, INC.","A-ROCKET MOVING & DELIVERY, INC.",3401 CORDER ST,HOUSTON,TX,77021,484110,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Texas Corporation,2011-06-21T00:00:00.000,Supply Chain / Port Operations Business Continuity
AAA COOPER TRANSPORTATION,AAA COOPER TRANSPORTATION,102 BENNINGTON ST,HOUSTON,TX,77022,484122,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Foreign Corporation (Out-of-State),2025-04-24T00:00:00.000,Supply Chain / Port Operations Business Continuity
AAA COOPER TRANSPORTATION,AAA COOPER TRANSPORTATION,5735 LITTLE YORK RD,HOUSTON,TX,77016,484122,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Foreign Corporation (Out-of-State),2006-10-24T00:00:00.000,Supply Chain / Port Operations Business Continuity
AC LION LOGISTICS LLC,"A.C. LION LOGISTICS, LLC",10527 GLENWAY DR,HOUSTON,TX,77070,484230,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Limited Liability Company (LLC),2025-03-20T00:00:00.000,Supply Chain / Port Operations Business Continuity
"ACCESS INFORMATION MANAGEMENT OF GEORGIA, LLC","ACCESS INFORMATION MANAGEMENT OF GEORGIA, LLC",13885 WESTFAIR EAST DR,HOUSTON,TX,77041,493190,"Transportation and Warehousing (Postal, Couriers, Warehousing)",Corporation / Corporate Entity,2016-07-20T00:00:00.000,Supply Chain / Port Operations Business Continuity
ADDICKS AUTO LLC,ADDICKS AUTO LLC,940 HIGHWAY 6 S,HOUSTON,TX,77079,493190,"Transportation and Warehousing (Postal, Couriers, Warehousing)",Limited Liability Company (LLC),2022-05-03T00:00:00.000,Supply Chain / Port Operations Business Continuity
"ADVANCED CONTAINER COMPANY, INC.","ADVANCED CONTAINER COMPANY, INC.",1711 TURNING BASIN DR,HOUSTON,TX,77029,493190,"Transportation and Warehousing (Postal, Couriers, Warehousing)",Texas Corporation,2000-09-25T00:00:00.000,Supply Chain / Port Operations Business Continuity
