Business / DBA Name,Legal Entity Name,Street Address,City,State,ZIP Code,NAICS Code,Industry Category,Entity Type,Permit Issue Date,MSSP Regulatory Sales Hook
247 OIL & GAS EQUIPMENT INC,247 OIL & GAS EQUIPMENT INC,10700 RICHMOND AVE STE 143,HOUSTON,TX,77042,213111,"Mining, Quarrying, and Oil and Gas Extraction",Texas Corporation,2018-11-14T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
3RD DEGREE SPECIALTY TOOLS,3RD DEGREE SPECIALTY TOOLS LLC,1885 SAINT JAMES PL,HOUSTON,TX,77056,213112,"Mining, Quarrying, and Oil and Gas Extraction",Limited Liability Company (LLC),2024-03-08T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
8615 JACKRABBIT RD SUITE H,"OES OILFIELD SERVICES (USA), INC.",8615 JACKRABBIT RD STE H,HOUSTON,TX,77095,213112,"Mining, Quarrying, and Oil and Gas Extraction",Texas Corporation,2025-09-16T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
A & A MACHINE,A & A MANUFACTURING INC,7415 BREEN DR,HOUSTON,TX,77086,333132,"Manufacturing (Metals, Machinery, Electronics)",Texas Corporation,2013-12-11T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
A. HAK INDUSTRIAL SERVICES US,INTERO INTEGRITY SERVICES US L.L.C.,9702 GALVESTON RD,HOUSTON,TX,77034,213112,"Mining, Quarrying, and Oil and Gas Extraction",Limited Liability Company (LLC),2015-04-21T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
"ABSOLUTE USA, INC.","ABSOLUTE USA, INC.",4730 CONSULATE PLAZA DR STE 120,HOUSTON,TX,77032,213114,"Mining, Quarrying, and Oil and Gas Extraction",Texas Corporation,2022-08-03T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
ACACIA ENERGY SOLUTIONS,"ACACIA ENERGY SOLUTIONS, LLC",1334 BRITTMOORE RD STE 1409,HOUSTON,TX,77043,213112,"Mining, Quarrying, and Oil and Gas Extraction",Limited Liability Company (LLC),2023-06-02T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
"ACADEMY OILFIELD RENTALS, LLC","ACADEMY OILFIELD RENTALS, LLC",800 GESSNER RD STE 1000,HOUSTON,TX,77024,213111,"Mining, Quarrying, and Oil and Gas Extraction",Corporation / Corporate Entity,2017-06-09T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
ACURAFLOW INC.,ACURAFLOW INC.,2350 BAGBY ST APT 8204,HOUSTON,TX,77006,213112,"Mining, Quarrying, and Oil and Gas Extraction",Texas Corporation,2021-05-03T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
"ADVANTAGE R & D, INC. #109538","ADVANTAGE R & D, INC.",16210 W HARDY RD,HOUSTON,TX,77060,213112,"Mining, Quarrying, and Oil and Gas Extraction",Foreign Corporation (Out-of-State),2000-06-05T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
"ADVANTAGE R & D, INC. #160562","ADVANTAGE R & D, INC.",16210 W HARDY RD,HOUSTON,TX,77060,213112,"Mining, Quarrying, and Oil and Gas Extraction",Foreign Corporation (Out-of-State),2021-07-13T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
"AEGIS CHEMICAL SOLUTIONS, LLC","AEGIS CHEMICAL SOLUTIONS, LLC",4560 KENDRICK PLAZA DR STE 190,HOUSTON,TX,77032,213112,"Mining, Quarrying, and Oil and Gas Extraction",Corporation / Corporate Entity,2013-12-03T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
AGUA - TECH LLC,AGUA - TECH LLC,13104 WORNINGTON CT,HOUSTON,TX,77077,211120,"Mining, Quarrying, and Oil and Gas Extraction",Limited Liability Company (LLC),2025-12-11T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
AI STRAINERS,JASON MAKAR,9811 WINDMILL PARK LN,HOUSTON,TX,77064,333132,"Manufacturing (Metals, Machinery, Electronics)",Type IS,2026-08-28T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
"ALDONSA, INC.","ALDONSA, INC.",11811 TANNER RD,HOUSTON,TX,77041,213112,"Mining, Quarrying, and Oil and Gas Extraction",Foreign Corporation (Out-of-State),2008-04-14T00:00:00.000,Enterprise Operator Vendor Cybersecurity Audits
